cell,celliso,iso,lon,lat,lpj
GLO.4739,SSD.4739,SSD,24.75,8.75,33198
GLO.4740,SSD.4740,SSD,24.75,9.25,33199
GLO.4741,SDN.4741,SDN,24.75,9.75,33200
GLO.4742,SDN.4742,SDN,24.75,10.25,33201
GLO.4743,SDN.4743,SDN,24.75,10.75,33202
GLO.4744,SDN.4744,SDN,24.75,11.25,33203
GLO.4745,SDN.4745,SDN,24.75,11.75,33204
GLO.4746,SDN.4746,SDN,24.75,12.25,33205
GLO.4747,SDN.4747,SDN,24.75,12.75,33206
GLO.4748,SDN.4748,SDN,24.75,13.25,33207
GLO.4749,SDN.4749,SDN,24.75,13.75,33208
GLO.4750,SDN.4750,SDN,24.75,14.25,33209
GLO.4751,SDN.4751,SDN,24.75,14.75,33210
GLO.4752,SDN.4752,SDN,24.75,15.25,33211
GLO.4753,SDN.4753,SDN,24.75,15.75,33212
GLO.4754,SDN.4754,SDN,24.75,16.25,33213
GLO.4755,SDN.4755,SDN,24.75,16.75,33214
GLO.4756,SDN.4756,SDN,24.75,17.25,33215
GLO.4757,SDN.4757,SDN,24.75,17.75,33216
GLO.4758,SDN.4758,SDN,24.75,18.25,33217
GLO.4759,SDN.4759,SDN,24.75,18.75,33218
GLO.4760,SDN.4760,SDN,24.75,19.25,33219
GLO.4761,SDN.4761,SDN,24.75,19.75,33220
GLO.4762,ZAF.4762,ZAF,25.25,-33.75,33318
GLO.4763,ZAF.4763,ZAF,25.25,-33.25,33319
GLO.4764,ZAF.4764,ZAF,25.25,-32.75,33320
GLO.4765,ZAF.4765,ZAF,25.25,-32.25,33321
GLO.4766,ZAF.4766,ZAF,25.25,-31.75,33322
GLO.4767,ZAF.4767,ZAF,25.25,-31.25,33323
GLO.4768,ZAF.4768,ZAF,25.25,-30.75,33324
GLO.4769,ZAF.4769,ZAF,25.25,-30.25,33325
GLO.4770,ZAF.4770,ZAF,25.25,-29.75,33326
GLO.4771,ZAF.4771,ZAF,25.25,-29.25,33327
GLO.4772,ZAF.4772,ZAF,25.25,-28.75,33328
GLO.4773,ZAF.4773,ZAF,25.25,-28.25,33329
GLO.4774,ZAF.4774,ZAF,25.25,-27.75,33330
GLO.4775,ZAF.4775,ZAF,25.25,-27.25,33331
GLO.4776,ZAF.4776,ZAF,25.25,-26.75,33332
GLO.4777,ZAF.4777,ZAF,25.25,-26.25,33333
GLO.4778,ZAF.4778,ZAF,25.25,-25.75,33334
